No.1プロバイダ　社内使用分一覧表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,#,ステータス,,拠点情報,,,,物件情報,,,,,契約情報,,,,,発行,,,解約処理,,,備考
,,ｽﾃｰﾀｽ,"請求
区分",拠点・部署名,"郵便
番号",設置先住所,,プロバイダー,"管理
番号",ID,パスワード,,プラン,固定IP,回線,種別,,日付,"担当
者",,"解約
年月日","回線停止
依頼日",,
,,ｽﾃｰﾀｽ,請求区分,社名,"郵便
番号",設置先住所,,プロバイダー,管理番号,ID,パスワード,,プラン,固定IP,回線,種別,,日付,"担当
者",,解約年月日,回線停止依頼日,,備考
1.0,1,発行済,請求なし,名古屋サービスセンター,,愛知県名古屋市中村区沖田町206,,朝日ネット,,u6728vp437p,tr2ym7ap,,固定あり,210.155.195.75,ファミリー,,,2021-04-13 00:00:00,須藤,,,,,
1.0,2,発行済,請求なし,大阪物流センター,,大阪府吹田市芳野町5-71　玉城倉庫,,朝日ネット,A1770,u6728zt858p,gum4fa2t,,固定なし,,ファミリー,,,2021-06-10 00:00:00,須藤,,,,,
1.0,3,発行済,請求なし,東京物流センター（SSテスト用）,133-0065,東京都江戸川区南篠崎町1-7-14,,朝日ネット,,u6538uw328t,ag5es7ee,,固定あり,122.249.91.63,ファミリー,ギガライン,,2022-01-12 00:00:00,西野,,,,,
1.0,4,回線停止,,SS事業推進部,,,,朝日ネット,,U6569FC835Q,,,,,ファミリー,,,,,,2022-01-31 00:00:00,2022-02-15 00:00:00,,
1.0,5,回線停止,,株式会社Ｎｏ．１デジタルソリューション,,,,朝日ネット,,U6569NU732Z,,,,,ファミリー,,,,,,2022-01-31 00:00:00,2022-02-15 00:00:00,,
1.0,6,回線停止,,神戸支店,,,,朝日ネット,,U6856UD787Q,,,,,ファミリー,,,,,,2022-01-31 00:00:00,2022-02-15 00:00:00,,
1.0,7,回線停止,,松山支店,,,,朝日ネット,,U6856UD957T,,,,,ファミリー,,,,,,2022-01-31 00:00:00,2022-02-15 00:00:00,,
1.0,8,発行済,請求なし,TSC,,,,朝日ネット,,u6656sb574p,he5rti3e,,固定あり,,マンション,ギガライン,,2022-05-31 00:00:00,西野,,,,,検証用、8/14に朝日ネットに回線停止を依頼する
1.0,9,受付,,No.1立川,,東京都立川市錦町2-6-24　マルイワビル立川第2　2階,,,,,,,,,,,,,,,,,,
1.0,10,受付,,No.1東京物流(葛西),,東京都江戸川区東葛西6-46-9,,,,,,,,,,,,,,,,,,
1.0,11,受付,,No.1横浜,,神奈川県横浜市神奈川区栄町5-1 　横浜クリエーションスクエアビル11階,,,,,,,,,,,,,,,,,,
1.0,12,発行済,,No.1湘南,243-0017,神奈川県厚木市栄町1-16-12 リアライズ厚木ビル4F,,朝日ネット,,u6828av399x,jamdim97,,固定あり,,ファミリー,,,2024-09-02 00:00:00,西野,,,,,
1.0,13,発行済,,株式会社 No.1 大阪サービスセンター,564-0044,大阪府吹田市南金田2-2-7,,朝日ネット,,u6866xn365s,3wh5yetc,,固定あり,,ファミリー,,,2023-09-26 00:00:00,鈴木,,,,,
1.0,14,発行済,,株式会社 No.1 大阪サービスセンター,564-0044,大阪府吹田市南金田2-2-7,,朝日ネット,,u6866xn447b,can32hit,,固定なし,,ファミリー,,,2023-09-26 00:00:00,鈴木,,,,,
1.0,15,発行済,,株式会社 No.1パートナー,151-0053,東京都渋谷区代々木1-11-2 代々木コミュニティビル5階,,朝日ネット,,u6866xn764a,6h9amare,,固定あり,,ファミリー,,,2023-09-27 00:00:00,鈴木,,,,,
1.0,16,発行済,,株式会社 No.1パートナー,,,,朝日ネット,,u6372rh344q,s5atea8t,,固定あり,,ファミリー,,,2024-04-11 00:00:00,西野,,,,,
1.0,17,発行済,営業請求,名古屋支店・文元課長,501-0111,岐阜県岐阜市鏡島精華3-4-2,,朝日ネット,,u6275me367t,4cu4tget,,固定なし,,ファミリー,SHS隼,,2024-04-26 00:00:00,西野,,,,,株式会社 かわせ匠房(SS0107425)対応用 / 2024年7月まで
1.0,18,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,19,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,20,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,21,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,22,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,23,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,24,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,25,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,26,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,27,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,28,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,29,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,30,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,31,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,32,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,33,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,34,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,35,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,36,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,37,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,38,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,39,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,40,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,41,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,42,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,43,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,44,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,45,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,46,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,47,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,48,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,49,受付,,,,,,,,,,,,,,,,,,,,,,
1.0,50,受付,,,,,,,,,,,,,,,,,,,,,,
